Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C18, C19, C2, C25, C28, C3, C40, C41, C48, C51, C53, C6, C7, C8, C9",0402,21,100n,C1525
"C11, C5, C52",1206,3,2.2uF,C50254
"C21, C22, C23, C24, C27, C4, C44, C45, C46, C55",1206,10,10uF,C13585
"C29, C49, C50",0805,3,10nF,C1710
C47,0603,1,1u,C15849
"D1, D2",D_SOD-323,2,1N4148,C2128
"F1, F2",0603,2,Fuse,C187605
"FB2, FB3",0603,2,FerriteBead_Small,C1002
IC2,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,MTCH6102-I_SS,C641630
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
J3,AUDIO-TH_320B,1,Black headphone jack,C18166
J5,TestPoint_Pad_D1.0mm,1,TP1,
J7,TestPoint_Pad_D1.0mm,1,TP3,
"R1, R10, R11, R13, R14, R15, R16, R17, R21, R7, R9",0402,11,10k,C25744
"R12, R20, R22",0805,3,470,C17710
"R18, R19",0402,2,27,C25100
"R2, R3",0402,2,5.1k,C25905
"R4, R5",0201,2,10k,C23162
"R6, R8",0402,2,1k,C11702
"SD1, SD2",D_SOD-123,2,Schottky diode,C8598
SW1,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,1,RotaryEncoder_Switch,
SW90,SW_SPST_PTS810,1,BOOT,C92589
SW91,SW_SPST_PTS810,1,RESET,C92589
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U10, U13, U14",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,3,TLV9062,C398355
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP4251-xxxx-SL,C640896
"U3, U7",SOT-23-5,2,AP2112K-3.3,C51118
U4,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,C527464
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
U6,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVSIQ,C97521
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,12MHz,C341520
